Recency,Frequency,Monetary,Date
731,731,3292679,2013-01-01
730,731,3292679,2013-01-01
729,731,3292679,2013-01-01
728,731,3292679,2013-01-01
727,731,3292679,2013-01-01
726,731,3292679,2013-01-01
725,731,3292679,2013-01-01
724,731,3292679,2013-01-01
723,731,3292679,2013-01-01
722,731,3292679,2013-01-01
721,731,3292679,2013-01-01
720,731,3292679,2013-01-01
719,731,3292679,2013-01-01
718,731,3292679,2013-01-01
717,731,3292679,2013-01-01
716,731,3292679,2013-01-01
715,731,3292679,2013-01-01
714,731,3292679,2013-01-01
713,731,3292679,2013-01-01
712,731,3292679,2013-01-01
711,731,3292679,2013-01-01
710,731,3292679,2013-01-01
709,731,3292679,2013-01-01
708,731,3292679,2013-01-01
707,731,3292679,2013-01-01
706,731,3292679,2013-01-01
705,731,3292679,2013-01-01
704,731,3292679,2013-01-01
703,731,3292679,2013-01-01
702,731,3292679,2013-01-01
701,731,3292679,2013-01-01
700,731,3292679,2013-01-01
699,731,3292679,2013-01-01
698,731,3292679,2013-01-01
697,731,3292679,2013-01-01
696,731,3292679,2013-01-01
695,731,3292679,2013-01-01
694,731,3292679,2013-01-01
693,731,3292679,2013-01-01
692,731,3292679,2013-01-01
691,731,3292679,2013-01-01
690,731,3292679,2013-01-01
689,731,3292679,2013-01-01
688,731,3292679,2013-01-01
687,731,3292679,2013-01-01
686,731,3292679,2013-01-01
685,731,3292679,2013-01-01
684,731,3292679,2013-01-01
683,731,3292679,2013-01-01
682,731,3292679,2013-01-01
681,731,3292679,2013-01-01
680,731,3292679,2013-01-01
679,731,3292679,2013-01-01
678,731,3292679,2013-01-01
677,731,3292679,2013-01-01
676,731,3292679,2013-01-01
675,731,3292679,2013-01-01
674,731,3292679,2013-01-01
673,731,3292679,2013-01-01
672,731,3292679,2013-01-01
671,731,3292679,2013-01-01
670,731,3292679,2013-01-01
669,731,3292679,2013-01-01
668,731,3292679,2013-01-01
667,731,3292679,2013-01-01
666,731,3292679,2013-01-01
665,731,3292679,2013-01-01
664,731,3292679,2013-01-01
663,731,3292679,2013-01-01
662,731,3292679,2013-01-01
661,731,3292679,2013-01-01
660,731,3292679,2013-01-01
659,731,3292679,2013-01-01
658,731,3292679,2013-01-01
657,731,3292679,2013-01-01
656,731,3292679,2013-01-01
655,731,3292679,2013-01-01
654,731,3292679,2013-01-01
653,731,3292679,2013-01-01
652,731,3292679,2013-01-01
651,731,3292679,2013-01-01
650,731,3292679,2013-01-01
649,731,3292679,2013-01-01
648,731,3292679,2013-01-01
647,731,3292679,2013-01-01
646,731,3292679,2013-01-01
645,731,3292679,2013-01-01
644,731,3292679,2013-01-01
643,731,3292679,2013-01-01
642,731,3292679,2013-01-01
641,731,3292679,2013-01-01
640,731,3292679,2013-01-01
639,731,3292679,2013-01-01
638,731,3292679,2013-01-01
637,731,3292679,2013-01-01
636,731,3292679,2013-01-01
635,731,3292679,2013-01-01
634,731,3292679,2013-01-01
633,731,3292679,2013-01-01
632,731,3292679,2013-01-01
631,731,3292679,2013-01-01
630,731,3292679,2013-01-01
629,731,3292679,2013-01-01
628,731,3292679,2013-01-01
627,731,3292679,2013-01-01
626,731,3292679,2013-01-01
625,731,3292679,2013-01-01
624,731,3292679,2013-01-01
623,731,3292679,2013-01-01
622,731,3292679,2013-01-01
621,731,3292679,2013-01-01
620,731,3292679,2013-01-01
619,731,3292679,2013-01-01
618,731,3292679,2013-01-01
617,731,3292679,2013-01-01
616,731,3292679,2013-01-01
615,731,3292679,2013-01-01
614,731,3292679,2013-01-01
613,731,3292679,2013-01-01
612,731,3292679,2013-01-01
611,731,3292679,2013-01-01
610,731,3292679,2013-01-01
609,731,3292679,2013-01-01
608,731,3292679,2013-01-01
607,731,3292679,2013-01-01
606,731,3292679,2013-01-01
605,731,3292679,2013-01-01
604,731,3292679,2013-01-01
603,731,3292679,2013-01-01
602,731,3292679,2013-01-01
601,731,3292679,2013-01-01
600,731,3292679,2013-01-01
599,731,3292679,2013-01-01
598,731,3292679,2013-01-01
597,731,3292679,2013-01-01
596,731,3292679,2013-01-01
595,731,3292679,2013-01-01
594,731,3292679,2013-01-01
593,731,3292679,2013-01-01
592,731,3292679,2013-01-01
591,731,3292679,2013-01-01
590,731,3292679,2013-01-01
589,731,3292679,2013-01-01
588,731,3292679,2013-01-01
587,731,3292679,2013-01-01
586,731,3292679,2013-01-01
585,731,3292679,2013-01-01
584,731,3292679,2013-01-01
583,731,3292679,2013-01-01
582,731,3292679,2013-01-01
581,731,3292679,2013-01-01
580,731,3292679,2013-01-01
579,731,3292679,2013-01-01
578,731,3292679,2013-01-01
577,731,3292679,2013-01-01
576,731,3292679,2013-01-01
575,731,3292679,2013-01-01
574,731,3292679,2013-01-01
573,731,3292679,2013-01-01
572,731,3292679,2013-01-01
571,731,3292679,2013-01-01
570,731,3292679,2013-01-01
569,731,3292679,2013-01-01
568,731,3292679,2013-01-01
567,731,3292679,2013-01-01
566,731,3292679,2013-01-01
565,731,3292679,2013-01-01
564,731,3292679,2013-01-01
563,731,3292679,2013-01-01
562,731,3292679,2013-01-01
561,731,3292679,2013-01-01
560,731,3292679,2013-01-01
559,731,3292679,2013-01-01
558,731,3292679,2013-01-01
557,731,3292679,2013-01-01
556,731,3292679,2013-01-01
555,731,3292679,2013-01-01
554,731,3292679,2013-01-01
553,731,3292679,2013-01-01
552,731,3292679,2013-01-01
551,731,3292679,2013-01-01
550,731,3292679,2013-01-01
549,731,3292679,2013-01-01
548,731,3292679,2013-01-01
547,731,3292679,2013-01-01
546,731,3292679,2013-01-01
545,731,3292679,2013-01-01
544,731,3292679,2013-01-01
543,731,3292679,2013-01-01
542,731,3292679,2013-01-01
541,731,3292679,2013-01-01
540,731,3292679,2013-01-01
539,731,3292679,2013-01-01
538,731,3292679,2013-01-01
537,731,3292679,2013-01-01
536,731,3292679,2013-01-01
535,731,3292679,2013-01-01
534,731,3292679,2013-01-01
533,731,3292679,2013-01-01
532,731,3292679,2013-01-01
531,731,3292679,2013-01-01
530,731,3292679,2013-01-01
529,731,3292679,2013-01-01
528,731,3292679,2013-01-01
527,731,3292679,2013-01-01
526,731,3292679,2013-01-01
525,731,3292679,2013-01-01
524,731,3292679,2013-01-01
523,731,3292679,2013-01-01
522,731,3292679,2013-01-01
521,731,3292679,2013-01-01
520,731,3292679,2013-01-01
519,731,3292679,2013-01-01
518,731,3292679,2013-01-01
517,731,3292679,2013-01-01
516,731,3292679,2013-01-01
515,731,3292679,2013-01-01
514,731,3292679,2013-01-01
513,731,3292679,2013-01-01
512,731,3292679,2013-01-01
511,731,3292679,2013-01-01
510,731,3292679,2013-01-01
509,731,3292679,2013-01-01
508,731,3292679,2013-01-01
507,731,3292679,2013-01-01
506,731,3292679,2013-01-01
505,731,3292679,2013-01-01
504,731,3292679,2013-01-01
503,731,3292679,2013-01-01
502,731,3292679,2013-01-01
501,731,3292679,2013-01-01
500,731,3292679,2013-01-01
499,731,3292679,2013-01-01
498,731,3292679,2013-01-01
497,731,3292679,2013-01-01
496,731,3292679,2013-01-01
495,731,3292679,2013-01-01
494,731,3292679,2013-01-01
493,731,3292679,2013-01-01
492,731,3292679,2013-01-01
491,731,3292679,2013-01-01
490,731,3292679,2013-01-01
489,731,3292679,2013-01-01
488,731,3292679,2013-01-01
487,731,3292679,2013-01-01
486,731,3292679,2013-01-01
485,731,3292679,2013-01-01
484,731,3292679,2013-01-01
483,731,3292679,2013-01-01
482,731,3292679,2013-01-01
481,731,3292679,2013-01-01
480,731,3292679,2013-01-01
479,731,3292679,2013-01-01
478,731,3292679,2013-01-01
477,731,3292679,2013-01-01
476,731,3292679,2013-01-01
475,731,3292679,2013-01-01
474,731,3292679,2013-01-01
473,731,3292679,2013-01-01
472,731,3292679,2013-01-01
471,731,3292679,2013-01-01
470,731,3292679,2013-01-01
469,731,3292679,2013-01-01
468,731,3292679,2013-01-01
467,731,3292679,2013-01-01
466,731,3292679,2013-01-01
465,731,3292679,2013-01-01
464,731,3292679,2013-01-01
463,731,3292679,2013-01-01
462,731,3292679,2013-01-01
461,731,3292679,2013-01-01
460,731,3292679,2013-01-01
459,731,3292679,2013-01-01
458,731,3292679,2013-01-01
457,731,3292679,2013-01-01
456,731,3292679,2013-01-01
455,731,3292679,2013-01-01
454,731,3292679,2013-01-01
453,731,3292679,2013-01-01
452,731,3292679,2013-01-01
451,731,3292679,2013-01-01
450,731,3292679,2013-01-01
449,731,3292679,2013-01-01
448,731,3292679,2013-01-01
447,731,3292679,2013-01-01
446,731,3292679,2013-01-01
445,731,3292679,2013-01-01
444,731,3292679,2013-01-01
443,731,3292679,2013-01-01
442,731,3292679,2013-01-01
441,731,3292679,2013-01-01
440,731,3292679,2013-01-01
439,731,3292679,2013-01-01
438,731,3292679,2013-01-01
437,731,3292679,2013-01-01
436,731,3292679,2013-01-01
435,731,3292679,2013-01-01
434,731,3292679,2013-01-01
433,731,3292679,2013-01-01
432,731,3292679,2013-01-01
431,731,3292679,2013-01-01
430,731,3292679,2013-01-01
429,731,3292679,2013-01-01
428,731,3292679,2013-01-01
427,731,3292679,2013-01-01
426,731,3292679,2013-01-01
425,731,3292679,2013-01-01
424,731,3292679,2013-01-01
423,731,3292679,2013-01-01
422,731,3292679,2013-01-01
421,731,3292679,2013-01-01
420,731,3292679,2013-01-01
419,731,3292679,2013-01-01
418,731,3292679,2013-01-01
417,731,3292679,2013-01-01
416,731,3292679,2013-01-01
415,731,3292679,2013-01-01
414,731,3292679,2013-01-01
413,731,3292679,2013-01-01
412,731,3292679,2013-01-01
411,731,3292679,2013-01-01
410,731,3292679,2013-01-01
409,731,3292679,2013-01-01
408,731,3292679,2013-01-01
407,731,3292679,2013-01-01
406,731,3292679,2013-01-01
405,731,3292679,2013-01-01
404,731,3292679,2013-01-01
403,731,3292679,2013-01-01
402,731,3292679,2013-01-01
401,731,3292679,2013-01-01
400,731,3292679,2013-01-01
399,731,3292679,2013-01-01
398,731,3292679,2013-01-01
397,731,3292679,2013-01-01
396,731,3292679,2013-01-01
395,731,3292679,2013-01-01
394,731,3292679,2013-01-01
393,731,3292679,2013-01-01
392,731,3292679,2013-01-01
391,731,3292679,2013-01-01
390,731,3292679,2013-01-01
389,731,3292679,2013-01-01
388,731,3292679,2013-01-01
387,731,3292679,2013-01-01
386,731,3292679,2013-01-01
385,731,3292679,2013-01-01
384,731,3292679,2013-01-01
383,731,3292679,2013-01-01
382,731,3292679,2013-01-01
381,731,3292679,2013-01-01
380,731,3292679,2013-01-01
379,731,3292679,2013-01-01
378,731,3292679,2013-01-01
377,731,3292679,2013-01-01
376,731,3292679,2013-01-01
375,731,3292679,2013-01-01
374,731,3292679,2013-01-01
373,731,3292679,2013-01-01
372,731,3292679,2013-01-01
371,731,3292679,2013-01-01
370,731,3292679,2013-01-01
369,731,3292679,2013-01-01
368,731,3292679,2013-01-01
367,731,3292679,2013-01-01
366,731,3292679,2013-01-01
365,731,3292679,2013-01-01
364,731,3292679,2013-01-01
363,731,3292679,2013-01-01
362,731,3292679,2013-01-01
361,731,3292679,2013-01-01
360,731,3292679,2013-01-01
359,731,3292679,2013-01-01
358,731,3292679,2013-01-01
357,731,3292679,2013-01-01
356,731,3292679,2013-01-01
355,731,3292679,2013-01-01
354,731,3292679,2013-01-01
353,731,3292679,2013-01-01
352,731,3292679,2013-01-01
351,731,3292679,2013-01-01
350,731,3292679,2013-01-01
349,731,3292679,2013-01-01
348,731,3292679,2013-01-01
347,731,3292679,2013-01-01
346,731,3292679,2013-01-01
345,731,3292679,2013-01-01
344,731,3292679,2013-01-01
343,731,3292679,2013-01-01
342,731,3292679,2013-01-01
341,731,3292679,2013-01-01
340,731,3292679,2013-01-01
339,731,3292679,2013-01-01
338,731,3292679,2013-01-01
337,731,3292679,2013-01-01
336,731,3292679,2013-01-01
335,731,3292679,2013-01-01
334,731,3292679,2013-01-01
333,731,3292679,2013-01-01
332,731,3292679,2013-01-01
331,731,3292679,2013-01-01
330,731,3292679,2013-01-01
329,731,3292679,2013-01-01
328,731,3292679,2013-01-01
327,731,3292679,2013-01-01
326,731,3292679,2013-01-01
325,731,3292679,2013-01-01
324,731,3292679,2013-01-01
323,731,3292679,2013-01-01
322,731,3292679,2013-01-01
321,731,3292679,2013-01-01
320,731,3292679,2013-01-01
319,731,3292679,2013-01-01
318,731,3292679,2013-01-01
317,731,3292679,2013-01-01
316,731,3292679,2013-01-01
315,731,3292679,2013-01-01
314,731,3292679,2013-01-01
313,731,3292679,2013-01-01
312,731,3292679,2013-01-01
311,731,3292679,2013-01-01
310,731,3292679,2013-01-01
309,731,3292679,2013-01-01
308,731,3292679,2013-01-01
307,731,3292679,2013-01-01
306,731,3292679,2013-01-01
305,731,3292679,2013-01-01
304,731,3292679,2013-01-01
303,731,3292679,2013-01-01
302,731,3292679,2013-01-01
301,731,3292679,2013-01-01
300,731,3292679,2013-01-01
299,731,3292679,2013-01-01
298,731,3292679,2013-01-01
297,731,3292679,2013-01-01
296,731,3292679,2013-01-01
295,731,3292679,2013-01-01
294,731,3292679,2013-01-01
293,731,3292679,2013-01-01
292,731,3292679,2013-01-01
291,731,3292679,2013-01-01
290,731,3292679,2013-01-01
289,731,3292679,2013-01-01
288,731,3292679,2013-01-01
287,731,3292679,2013-01-01
286,731,3292679,2013-01-01
285,731,3292679,2013-01-01
284,731,3292679,2013-01-01
283,731,3292679,2013-01-01
282,731,3292679,2013-01-01
281,731,3292679,2013-01-01
280,731,3292679,2013-01-01
279,731,3292679,2013-01-01
278,731,3292679,2013-01-01
277,731,3292679,2013-01-01
276,731,3292679,2013-01-01
275,731,3292679,2013-01-01
274,731,3292679,2013-01-01
273,731,3292679,2013-01-01
272,731,3292679,2013-01-01
271,731,3292679,2013-01-01
270,731,3292679,2013-01-01
269,731,3292679,2013-01-01
268,731,3292679,2013-01-01
267,731,3292679,2013-01-01
266,731,3292679,2013-01-01
265,731,3292679,2013-01-01
264,731,3292679,2013-01-01
263,731,3292679,2013-01-01
262,731,3292679,2013-01-01
261,731,3292679,2013-01-01
260,731,3292679,2013-01-01
259,731,3292679,2013-01-01
258,731,3292679,2013-01-01
257,731,3292679,2013-01-01
256,731,3292679,2013-01-01
255,731,3292679,2013-01-01
254,731,3292679,2013-01-01
253,731,3292679,2013-01-01
252,731,3292679,2013-01-01
251,731,3292679,2013-01-01
250,731,3292679,2013-01-01
249,731,3292679,2013-01-01
248,731,3292679,2013-01-01
247,731,3292679,2013-01-01
246,731,3292679,2013-01-01
245,731,3292679,2013-01-01
244,731,3292679,2013-01-01
243,731,3292679,2013-01-01
242,731,3292679,2013-01-01
241,731,3292679,2013-01-01
240,731,3292679,2013-01-01
239,731,3292679,2013-01-01
238,731,3292679,2013-01-01
237,731,3292679,2013-01-01
236,731,3292679,2013-01-01
235,731,3292679,2013-01-01
234,731,3292679,2013-01-01
233,731,3292679,2013-01-01
232,731,3292679,2013-01-01
231,731,3292679,2013-01-01
230,731,3292679,2013-01-01
229,731,3292679,2013-01-01
228,731,3292679,2013-01-01
227,731,3292679,2013-01-01
226,731,3292679,2013-01-01
225,731,3292679,2013-01-01
224,731,3292679,2013-01-01
223,731,3292679,2013-01-01
222,731,3292679,2013-01-01
221,731,3292679,2013-01-01
220,731,3292679,2013-01-01
219,731,3292679,2013-01-01
218,731,3292679,2013-01-01
217,731,3292679,2013-01-01
216,731,3292679,2013-01-01
215,731,3292679,2013-01-01
214,731,3292679,2013-01-01
213,731,3292679,2013-01-01
212,731,3292679,2013-01-01
211,731,3292679,2013-01-01
210,731,3292679,2013-01-01
209,731,3292679,2013-01-01
208,731,3292679,2013-01-01
207,731,3292679,2013-01-01
206,731,3292679,2013-01-01
205,731,3292679,2013-01-01
204,731,3292679,2013-01-01
203,731,3292679,2013-01-01
202,731,3292679,2013-01-01
201,731,3292679,2013-01-01
200,731,3292679,2013-01-01
199,731,3292679,2013-01-01
198,731,3292679,2013-01-01
197,731,3292679,2013-01-01
196,731,3292679,2013-01-01
195,731,3292679,2013-01-01
194,731,3292679,2013-01-01
193,731,3292679,2013-01-01
192,731,3292679,2013-01-01
191,731,3292679,2013-01-01
190,731,3292679,2013-01-01
189,731,3292679,2013-01-01
188,731,3292679,2013-01-01
187,731,3292679,2013-01-01
186,731,3292679,2013-01-01
185,731,3292679,2013-01-01
184,731,3292679,2013-01-01
183,731,3292679,2013-01-01
182,731,3292679,2013-01-01
181,731,3292679,2013-01-01
180,731,3292679,2013-01-01
179,731,3292679,2013-01-01
178,731,3292679,2013-01-01
177,731,3292679,2013-01-01
176,731,3292679,2013-01-01
175,731,3292679,2013-01-01
174,731,3292679,2013-01-01
173,731,3292679,2013-01-01
172,731,3292679,2013-01-01
171,731,3292679,2013-01-01
170,731,3292679,2013-01-01
169,731,3292679,2013-01-01
168,731,3292679,2013-01-01
167,731,3292679,2013-01-01
166,731,3292679,2013-01-01
165,731,3292679,2013-01-01
164,731,3292679,2013-01-01
163,731,3292679,2013-01-01
162,731,3292679,2013-01-01
161,731,3292679,2013-01-01
160,731,3292679,2013-01-01
159,731,3292679,2013-01-01
158,731,3292679,2013-01-01
157,731,3292679,2013-01-01
156,731,3292679,2013-01-01
155,731,3292679,2013-01-01
154,731,3292679,2013-01-01
153,731,3292679,2013-01-01
152,731,3292679,2013-01-01
151,731,3292679,2013-01-01
150,731,3292679,2013-01-01
149,731,3292679,2013-01-01
148,731,3292679,2013-01-01
147,731,3292679,2013-01-01
146,731,3292679,2013-01-01
145,731,3292679,2013-01-01
144,731,3292679,2013-01-01
143,731,3292679,2013-01-01
142,731,3292679,2013-01-01
141,731,3292679,2013-01-01
140,731,3292679,2013-01-01
139,731,3292679,2013-01-01
138,731,3292679,2013-01-01
137,731,3292679,2013-01-01
136,731,3292679,2013-01-01
135,731,3292679,2013-01-01
134,731,3292679,2013-01-01
133,731,3292679,2013-01-01
132,731,3292679,2013-01-01
131,731,3292679,2013-01-01
130,731,3292679,2013-01-01
129,731,3292679,2013-01-01
128,731,3292679,2013-01-01
127,731,3292679,2013-01-01
126,731,3292679,2013-01-01
125,731,3292679,2013-01-01
124,731,3292679,2013-01-01
123,731,3292679,2013-01-01
122,731,3292679,2013-01-01
121,731,3292679,2013-01-01
120,731,3292679,2013-01-01
119,731,3292679,2013-01-01
118,731,3292679,2013-01-01
117,731,3292679,2013-01-01
116,731,3292679,2013-01-01
115,731,3292679,2013-01-01
114,731,3292679,2013-01-01
113,731,3292679,2013-01-01
112,731,3292679,2013-01-01
111,731,3292679,2013-01-01
110,731,3292679,2013-01-01
109,731,3292679,2013-01-01
108,731,3292679,2013-01-01
107,731,3292679,2013-01-01
106,731,3292679,2013-01-01
105,731,3292679,2013-01-01
104,731,3292679,2013-01-01
103,731,3292679,2013-01-01
102,731,3292679,2013-01-01
101,731,3292679,2013-01-01
100,731,3292679,2013-01-01
99,731,3292679,2013-01-01
98,731,3292679,2013-01-01
97,731,3292679,2013-01-01
96,731,3292679,2013-01-01
95,731,3292679,2013-01-01
94,731,3292679,2013-01-01
93,731,3292679,2013-01-01
92,731,3292679,2013-01-01
91,731,3292679,2013-01-01
90,731,3292679,2013-01-01
89,731,3292679,2013-01-01
88,731,3292679,2013-01-01
87,731,3292679,2013-01-01
86,731,3292679,2013-01-01
85,731,3292679,2013-01-01
84,731,3292679,2013-01-01
83,731,3292679,2013-01-01
82,731,3292679,2013-01-01
81,731,3292679,2013-01-01
80,731,3292679,2013-01-01
79,731,3292679,2013-01-01
78,731,3292679,2013-01-01
77,731,3292679,2013-01-01
76,731,3292679,2013-01-01
75,731,3292679,2013-01-01
74,731,3292679,2013-01-01
73,731,3292679,2013-01-01
72,731,3292679,2013-01-01
71,731,3292679,2013-01-01
70,731,3292679,2013-01-01
69,731,3292679,2013-01-01
68,731,3292679,2013-01-01
67,731,3292679,2013-01-01
66,731,3292679,2013-01-01
65,731,3292679,2013-01-01
64,731,3292679,2013-01-01
63,731,3292679,2013-01-01
62,731,3292679,2013-01-01
61,731,3292679,2013-01-01
60,731,3292679,2013-01-01
59,731,3292679,2013-01-01
58,731,3292679,2013-01-01
57,731,3292679,2013-01-01
56,731,3292679,2013-01-01
55,731,3292679,2013-01-01
54,731,3292679,2013-01-01
53,731,3292679,2013-01-01
52,731,3292679,2013-01-01
51,731,3292679,2013-01-01
50,731,3292679,2013-01-01
49,731,3292679,2013-01-01
48,731,3292679,2013-01-01
47,731,3292679,2013-01-01
46,731,3292679,2013-01-01
45,731,3292679,2013-01-01
44,731,3292679,2013-01-01
43,731,3292679,2013-01-01
42,731,3292679,2013-01-01
41,731,3292679,2013-01-01
40,731,3292679,2013-01-01
39,731,3292679,2013-01-01
38,731,3292679,2013-01-01
37,731,3292679,2013-01-01
36,731,3292679,2013-01-01
35,731,3292679,2013-01-01
34,731,3292679,2013-01-01
33,731,3292679,2013-01-01
32,731,3292679,2013-01-01
31,731,3292679,2013-01-01
30,731,3292679,2013-01-01
29,731,3292679,2013-01-01
28,731,3292679,2013-01-01
27,731,3292679,2013-01-01
26,731,3292679,2013-01-01
25,731,3292679,2013-01-01
24,731,3292679,2013-01-01
23,731,3292679,2013-01-01
22,731,3292679,2013-01-01
21,731,3292679,2013-01-01
20,731,3292679,2013-01-01
19,731,3292679,2013-01-01
18,731,3292679,2013-01-01
17,731,3292679,2013-01-01
16,731,3292679,2013-01-01
15,731,3292679,2013-01-01
14,731,3292679,2013-01-01
13,731,3292679,2013-01-01
12,731,3292679,2013-01-01
11,731,3292679,2013-01-01
10,731,3292679,2013-01-01
9,731,3292679,2013-01-01
8,731,3292679,2013-01-01
7,731,3292679,2013-01-01
6,731,3292679,2013-01-01
5,731,3292679,2013-01-01
4,731,3292679,2013-01-01
3,731,3292679,2013-01-01
2,731,3292679,2013-01-01
1,731,3292679,2013-01-01
